                                                       ESTADO DE AVANCE PRESUPUESTAL DE EGRESOS DEL 1 DE ENERO DE 2016 AL 31 DE DICIEMBRE DE 2016                                                       
                                                                                               JOCOTITLAN                                                                                               
                                                                              Funcion/Subfun/Programa: 010301, Gubernatura                                                                              
                                                                                                                                                                                             Hoja no.: 1
 PART             DESCRIPCION                 APROBADO         AMPLIACION       REDUCCION         MODIFICADO       COMPROMETIDO      DEVENGADO           PAGADO           EJERCIDO       POR EJERCER    
1311  Prima por años de servicio.                      0.00          9,017.65             0.00          9,017.65        -13,745.35         4,289.95              0.00          4,727.70         4,289.95
1312  Prima de antiguedad.                             0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1313  Prima adicional por                              0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1320  Primas de vacaciones,                            0.00              0.00             0.00              0.00       -579,810.73             0.00              0.00        579,810.73      -579,810.73
1321  Prima vacacional.                                0.00              0.00             0.00              0.00       -579,810.73             0.00              0.00        579,810.73      -579,810.73
1322  Aguinaldo.                                       0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1323  Aguinaldo de eventuales.                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1324  Vacaciones no disfrutadas por                    0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1325  Prima dominical.                                 0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1330  Horas Extraordinarias.                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1331  Remuneraciones por horas                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00


                                                       ESTADO DE AVANCE PRESUPUESTAL DE EGRESOS DEL 1 DE ENERO DE 2016 AL 31 DE DICIEMBRE DE 2016                                                       
                                                                                               JOCOTITLAN                                                                                               
                                                                              Funcion/Subfun/Programa: 010301, Gubernatura                                                                              
                                                                                                                                                                                             Hoja no.: 2
 PART             DESCRIPCION                 APROBADO         AMPLIACION       REDUCCION         MODIFICADO       COMPROMETIDO      DEVENGADO           PAGADO           EJERCIDO       POR EJERCER    
1340  Compensaciones.                                  0.00      1,772,306.22             0.00      1,772,306.22     -2,483,264.73       540,994.42              0.00        710,958.51     1,061,347.71
1341  Compensación.                                    0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1342  Compensación por servicios                       0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1343  Compensación por riesgo                          0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1344  Compensación por                                 0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1345  Gratificación.                                   0.00      1,772,306.22             0.00      1,772,306.22     -2,483,264.73       540,994.42              0.00        710,958.51     1,061,347.71
1346  Gratificación por convenio.                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1347  Gratificación por                                0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1348  Labores docentes.                                0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1349  Estudios superiores.                             0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1350  Sobrehaberes.                                    0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1351  Sobrehaberes.                                    0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1360  Asignaciones de técnico, de                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1361  Asignaciones de técnico, de                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1370  Honorarios especiales.                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1371  Honorarios especiales.                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1380  Participaciones por vigilancia                   0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1381  Participaciones por vigilancia                   0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1400  SEGURIDAD SOCIAL.                                0.00      1,078,928.05             0.00      1,078,928.05     -1,861,056.44             0.00              0.00        782,128.39       296,799.66
1410  Aportaciones de seguridad                        0.00      1,078,928.05             0.00      1,078,928.05     -1,861,056.44             0.00              0.00        782,128.39       296,799.66
1411  Cuotas al ISSSTE.                                0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1412  Cuotas de servicio de salud.                     0.00        524,265.61             0.00        524,265.61       -901,970.02             0.00              0.00        377,704.41       146,561.20
1413  Cuotas al sistema solidario de                   0.00        389,014.90             0.00        389,014.90       -670,135.00             0.00              0.00        281,120.10       107,894.80
1414  Cuotas del sistema de                            0.00         64,286.25             0.00         64,286.25       -113,040.29             0.00              0.00         48,754.04        15,532.21
1415  Aportaciones para financiar                      0.00         45,904.55             0.00         45,904.55        -82,006.23             0.00              0.00         36,101.68         9,802.87
1416  Riesgo de trabajo.                               0.00         55,456.74             0.00         55,456.74        -93,904.90             0.00              0.00         38,448.16        17,008.58
1420  Aportaciones a fondos de                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1421  FOVISSSTE.                                       0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1430  Aportaciones al sistema para                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1431  SAR (Sistema de Ahorro para                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1440  Aportaciones para seguros.                       0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1441  Seguros y fianzas.                               0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1500  OTRAS PRESTACIONES                               0.00          4,777.06             0.00          4,777.06         -6,727.06         2,827.06              0.00          1,950.00         2,827.06
1510  Cuotas para el fondo de                          0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1511  Cuotas para fondo de retiro.                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1512  Seguro de separación                             0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1520  Indemnizaciones.                                 0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1521  Indemnización por accidentes                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00


                                                       ESTADO DE AVANCE PRESUPUESTAL DE EGRESOS DEL 1 DE ENERO DE 2016 AL 31 DE DICIEMBRE DE 2016                                                       
                                                                                               JOCOTITLAN                                                                                               
                                                                              Funcion/Subfun/Programa: 010301, Gubernatura                                                                              
                                                                                                                                                                                             Hoja no.: 3
 PART             DESCRIPCION                 APROBADO         AMPLIACION       REDUCCION         MODIFICADO       COMPROMETIDO      DEVENGADO           PAGADO           EJERCIDO       POR EJERCER    
1522  Liquidaciones por                                0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1530  Prestaciones y haberes de                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1531  Prima por jubilación.                            0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1540  Prestaciones contractuales.                      0.00          1,927.06             0.00          1,927.06         -2,377.06         1,477.06              0.00            450.00         1,477.06
1541  Becas para hijos de                              0.00            825.00             0.00            825.00         -1,275.00           375.00              0.00            450.00           375.00
1542  Días cívicos y económicos.                       0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1543  Gastos relacionados al                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1544  Día del maestro y del servidor                   0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1545  Estudios de postgrado.                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1546  Otros gastos derivados de                        0.00          1,102.06             0.00          1,102.06         -1,102.06         1,102.06              0.00              0.00         1,102.06
1547  Asignaciones extraordinarias                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1550  Apoyos a la capacitación de                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1551  Becas institucionales.                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1590  Otras prestaciones sociales y                    0.00          2,850.00             0.00          2,850.00         -4,350.00         1,350.00              0.00          1,500.00         1,350.00
1591  Elaboración de tesis.                            0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1592  Seguro de vida.                                  0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1593  Vi ticos.                                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1594  Diferencial por escuelas.                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1595  Despensa.                                        0.00          2,850.00             0.00          2,850.00         -4,350.00         1,350.00              0.00          1,500.00         1,350.00
1600  PREVISIONES.                                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1610  Previsiones de car cter                          0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1611  Previsiones de car cter                          0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1700  PAGO DE ESTÍMULOS A                              0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1710  Estímulos.                                       0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1711  Reconocimiento a servidores                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1712  Estímulos por puntualidad y                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1720  Recompensas.                                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
1721  Recompensas.                                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2000  MATERIALES Y                                     0.00        136,522.76             0.00        136,522.76       -260,978.83        32,714.28              0.00         94,911.77        41,610.99
2100  MATERIALES DE                                    0.00         36,887.23             0.00         36,887.23        -49,052.82           962.40              0.00         12,165.59        24,721.64
2110  Materiales, útiles y equipos                     0.00         21,272.84             0.00         21,272.84        -21,272.84             0.00              0.00              0.00        21,272.84
2111  Materiales y útiles de oficina.                  0.00         21,272.84             0.00         21,272.84        -21,272.84             0.00              0.00              0.00        21,272.84
2112  Enseres de oficina.                              0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2120  Materiales y útiles de                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2121  Material y útiles de imprenta y                  0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2122  Material de foto, cine y                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2130  Material estadístico y                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2131  Material estadístico y                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00


                                                       ESTADO DE AVANCE PRESUPUESTAL DE EGRESOS DEL 1 DE ENERO DE 2016 AL 31 DE DICIEMBRE DE 2016                                                       
                                                                                               JOCOTITLAN                                                                                               
                                                                              Funcion/Subfun/Programa: 010301, Gubernatura                                                                              
                                                                                                                                                                                             Hoja no.: 4
 PART             DESCRIPCION                 APROBADO         AMPLIACION       REDUCCION         MODIFICADO       COMPROMETIDO      DEVENGADO           PAGADO           EJERCIDO       POR EJERCER    
2140  Materiales útiles y equipos                      0.00         14,651.99             0.00         14,651.99        -26,817.58             0.00              0.00         12,165.59         2,486.40
2141  Materiales y útiles para el                      0.00         14,651.99             0.00         14,651.99        -26,817.58             0.00              0.00         12,165.59         2,486.40
2150  Material impreso e información                   0.00            840.00             0.00            840.00           -840.00           840.00              0.00              0.00           840.00
2151  Material de información.                         0.00            840.00             0.00            840.00           -840.00           840.00              0.00              0.00           840.00
2160  Material de limpieza.                            0.00            122.40             0.00            122.40           -122.40           122.40              0.00              0.00           122.40
2161  Material y enseres de                            0.00            122.40             0.00            122.40           -122.40           122.40              0.00              0.00           122.40
2170  Materiales y útiles de                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2171  Material did ctico.                              0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2180  Materiales para el registro e                    0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2181  Material para identificación y                   0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2200  ALIMENTOS Y UTENSILIOS.                          0.00          8,837.74             0.00          8,837.74         -8,837.74         1,884.20              0.00              0.00         8,837.74
2210  Productos alimenticios para                      0.00          8,837.74             0.00          8,837.74         -8,837.74         1,884.20              0.00              0.00         8,837.74
2211  Productos alimenticios para                      0.00          8,837.74             0.00          8,837.74         -8,837.74         1,884.20              0.00              0.00         8,837.74
2220  Productos alimenticios para                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2221  Equipamiento y enseres para                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2222  Productos alimenticios para                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2230  Utensilios para el servicio de                   0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2231  Utensilios para el servicio de                   0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2300  MATERIAS PRIMAS Y                                0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2310  Productos alimenticios,                          0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2311  Materias primas y materiales                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2320  Insumos textiles adquiridos                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2321  Materias primas textiles.                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2330  Productos de papel, cartón e                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2331  Productos de papel, cartón e                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2340  Combustibles, lubricantes,                       0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2341  Combustibles, lubricantes,                       0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2350  Productos químicos,                              0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2351  Productos químicos,                              0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2360  Productos met licos y a base                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2361  Productos met licos y a base                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2370  Productos de cuero, piel,                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2371  Productos de cuero, piel,                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2380  Mercancías adquiridas para su                    0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2381  Mercancías para su                               0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2390  Otros productos adquiridos                       0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2391  Otros productos adquiridos                       0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2400  MATERIALES Y ARTICULOS                           0.00          1,856.00             0.00          1,856.00         -1,856.00             0.00              0.00              0.00         1,856.00


                                                       ESTADO DE AVANCE PRESUPUESTAL DE EGRESOS DEL 1 DE ENERO DE 2016 AL 31 DE DICIEMBRE DE 2016                                                       
                                                                                               JOCOTITLAN                                                                                               
                                                                              Funcion/Subfun/Programa: 010301, Gubernatura                                                                              
                                                                                                                                                                                             Hoja no.: 5
 PART             DESCRIPCION                 APROBADO         AMPLIACION       REDUCCION         MODIFICADO       COMPROMETIDO      DEVENGADO           PAGADO           EJERCIDO       POR EJERCER    
2410  Productos minerales no                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2411  Productos minerales no                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2420  Cemento y productos de                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2421  Cemento y productos de                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2430  Cal, yeso y productos de yeso.                   0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2431  Cal, yeso y productos de yeso.                   0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2440  Madera y productos de                            0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2441  Madera y productos de                            0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2450  Vidrio y productos de vidrio.                    0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2451  Vidrio y productos de vidrio.                    0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2460  Material eléctrico y                             0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2461  Material eléctrico y                             0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2470  Artículos met licos para la                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2471  Artículos met licos para la                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2480  Materiales complementarios.                      0.00          1,856.00             0.00          1,856.00         -1,856.00             0.00              0.00              0.00         1,856.00
2481  Materiales complementarios.                      0.00          1,856.00             0.00          1,856.00         -1,856.00             0.00              0.00              0.00         1,856.00
2482  Material de señalización.                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2483  Árboles y plantas de ornato.                     0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2490  Otros materiales y artículos de                  0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2491  Materiales de construcción.                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2492  Estructuras y manufacturas                       0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2500  PRODUCTOS QUIMICOS,                              0.00          2,940.22             0.00          2,940.22         -2,940.22             0.00              0.00              0.00         2,940.22
2510  Productos químicos b sicos.                      0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2511  Sustancias químicas.                             0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2520  Fertilizantes, pesticidas y otros                0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2521  Plaguicidas, abonos y                            0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2530  Medicinas y productos                            0.00          2,940.22             0.00          2,940.22         -2,940.22             0.00              0.00              0.00         2,940.22
2531  Medicinas y productos                            0.00          2,940.22             0.00          2,940.22         -2,940.22             0.00              0.00              0.00         2,940.22
2540  Materiales, accesorios y                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2541  Materiales, accesorios y                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2550  Materiales, accesorios y                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2551  Materiales, accesorios y                         0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2560  Fibras sintéticas, hules,                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2561  Fibras sintéticas, hules,                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2590  Otros productos químicos.                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2591  Otros productos químicos.                        0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2600  COMBUSTIBLES,                                    0.00         86,001.57             0.00         86,001.57       -198,292.05        29,867.68              0.00         82,746.18         3,255.39
2610  Combustibles, lubricantes y                      0.00         86,001.57             0.00         86,001.57       -198,292.05        29,867.68              0.00         82,746.18         3,255.39


                                                       ESTADO DE AVANCE PRESUPUESTAL DE EGRESOS DEL 1 DE ENERO DE 2016 AL 31 DE DICIEMBRE DE 2016                                                       
                                                                                               JOCOTITLAN                                                                                               
                                                                              Funcion/Subfun/Programa: 010301, Gubernatura                                                                              
                                                                                                                                                                                             Hoja no.: 6
 PART             DESCRIPCION                 APROBADO         AMPLIACION       REDUCCION         MODIFICADO       COMPROMETIDO      DEVENGADO           PAGADO           EJERCIDO       POR EJERCER    
2611  Combustibles, lubricantes y                      0.00         86,001.57             0.00         86,001.57       -198,292.05        29,867.68              0.00         82,746.18         3,255.39
2620  Carbón y sus derivados.                          0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2621  Carbón y sus derivados.                          0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2700  VESTUARIO, BLANCOS,                              0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2710  Vestuario y uniformes.                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2711  Vestuario y uniformes.                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2720  Prendas de seguridad y                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
2721  Prendas de seguridad y                           0.00              0.00             0.00              0.00              0.00             0.00              0.00              0.00             0.00
